ASIN,Title,Brand,Fulfillment,Category,Subcategory,Price,Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Sales Year Over Year (%),Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images
B08H56H48T,BloomSesame Microfiber Face Cloths Reusable Makeup Remover Cloth Soft Facial Cleaning Washcloths 12 x 12inch 12 Pack,BloomSesame,FBA,Beauty & Personal Care,Cloths & Towelettes,21.99,3334,-26.0,73314.66,3721.0,4.7,BloomSesame-US,1,,96.357421875,335.15625,12/01/2022,30,4.0
B09K3FNYPX,"White Chocolate Melts Melting Chocolate Candy Melts Merckens Chocolate Melting Wafers Bulk Chocolate Bag White Candy Melts White Chocolate Chips for Dipping, Chocolate Fountain Melting Chocolate, Deserts, Baking And More (White, 2 Pound)",KIDU,FBA,Grocery & Gourmet Food,Chocolates,23.99,3304,47.0,79262.96,1577.0,4.1,Kidu Gifts,1,,49.14289369791666,170.93180416666667,11/01/2022,17,7.0
B0BB71M9LR,Gray Baby Onesie 12 Month Onesie Boy Girls Fall Summer Bodysuit My Siblings Have Paws,BFUSTYLE,FBA,"Clothing, Shoes & Jewelry",Bodysuits,6.98,3233,69.0,22566.34,4607.0,4.8,Awardrobe,1,,18.4359375,64.125,02/01/2023,7,7.0
B08VW8VSPB,Egnaro Thin and Stackable Silicone Wedding Bands Women - 2.5mm Width - 1.8mm Thick,Egnaro,FBA,Sports & Outdoors,Rings,10.99,2897,0.0,31838.03,1569.0,4.5,Egnaro Rings,1,,2.733422222222221,9.507555555555554,03/01/2023,24,7.0
B09N73KZCZ,ZIONOR X4 Ski Goggles Magnetic Lens - Snowboard Goggles for Men Women Adult - Snow Goggles Anti-fog UV Protection (Blue Frame Revo Silver Lens),ZIONOR,FBA,Sports & Outdoors,Skiing & Snowboarding,39.99,2647,-22.0,105853.53,3825.0,4.7,ZIONOR Official Store,1,25.0,76.94529409722223,267.6358055555556,12/01/2022,15,7.0
B09HJLS3Y9,"SEISHIO IPL Hair Removal for Women Men - Permanent Painless At-Home Hair Remover Device for Whole Body Use, 999,999 Unlimited Flashes, Dark Green",SEISHIO,FBA,Beauty & Personal Care,"Laser, Light & Electrolysis Hair Removal",95.0,2484,0.0,235980.0,200.0,3.8,Cosprain,1,,56.91671898435591,197.9711964673249,03/01/2023,18,7.0
B09P56JSTC,"WEIZE 16x6.50-8 Lawn Mower Tires with Rim, 3"" Offset Hub, 3/4"" Bushing, 16x6.5-8 Tractor Turf Tire, 4 Ply Tubeless, Set of 2",WEIZE,FBM,"Patio, Lawn & Garden",Tires,119.99,2410,0.0,289175.9,999.0,4.6,Weize,1,,,,09/01/2022,12,7.0
B08JCCK758,"3 Pack Reusable Iced Coffee Sleeves - Xumbtvs Insulator Sleeve for Cold Beverages, Neoprene Cup Holder for Starbucks Coffee, Dunkin Coffee, More (Navy blue)",Xumbtvs,FBA,Kitchen & Dining,Thermocoolers,9.99,2396,42.0,23936.04,5337.0,4.7,Lovac,1,,36.040724968590055,125.3590433690089,12/01/2022,30,2.0
B0962WYQ4Q,Hiking Cargo Shorts for Women Dry Fit Active Capri Pants for Camping with Pockets,MoFiz,FBA,Sports & Outdoors,Camping & Hiking,35.99,2350,931.0,84576.5,692.0,4.3,AIRIKE,1,,53.52503338541666,186.17402916666663,10/01/2022,21,7.0
B0999QZBK6,"Ultra Game mens Active Long Sleeve Pullover T-shirt Shirt, Team Color, Large US",Ultra Game,Amazon,Sports & Outdoors,T-Shirts,24.99,2169,-82.0,54203.31,5798.0,4.7,Amazon,3,,,,12/01/2022,20,6.0
B09VYZRM4S,"Bathroom Accessories Set-8 Piece Plastic Gift Set Toothbrush Holder,Toothbrush Cup,Soap Dispenser,Soap Dish,Toilet Brush Holder,Trash Can,Cotton Swab can,Tumbler Straw Set Bathroom (White)",Papillon,FBA,Home & Kitchen,Bathroom Accessory Sets,35.97,2144,51.0,77119.68,4111.0,4.3,ToAvengers,1,,286.5426010416666,996.6699166666664,05/01/2022,13,6.0
B09TZXS97J,Long Balloons Premium 260 Twisting Balloons Animals Magic Balloons for Birthday Kids Wedding Party Supply 100pcs (Green),ZBYDNG,FBA,Toys & Games,Balloons,7.99,2094,1738.0,0.0,916.0,4.4,ZBYDNG,1,,36.05753124999999,125.41749999999998,02/01/2023,12,8.0
B08PDS77XS,"Gorilla Grip Splatter Screen for Frying Pan, 13 Inch, Easy Clean Stainless Steel Grease Cover, Stop Hot Oil and Bacon Splash, Cooking Guard for Skillet, Comfortable Handle, Dishwasher Safe, Coffee",Gorilla Grip,FBA,Kitchen & Dining,Splatter Screens,11.55,2086,977.0,24093.3,4387.0,4.6,GORILLA COMMERCE,1,-30.0,86.06062303168125,299.3412975015,10/01/2021,27,9.0
B0B57C46VF,"JONATHAN Y SMB110G-3 Zinnia Modern Floral Textured Weave Indoor Outdoor Area-Rug, Bohemian Coastal Mediterranean Easy-Cleaning,Bedroom,Kitchen,Backyard,Patio,Non Shedding, 3 X 5, Yellow/Cream",JONATHAN Y,Amazon,"Patio, Lawn & Garden",Doormats,31.59,2041,337.0,77598.82,2523.0,4.6,Amazon,3,,,,02/01/2023,8,6.0
B093ZS515R,"ASICS Men's Gel-Resolution 8 Tennis Shoes, 9.5, White/Green Gecko",ASICS,FBA,Sports & Outdoors,Footwear,149.95,2038,54.0,0.0,1676.0,4.4,RacquetGalaxy,1,127.0,217.99200347222225,758.2330555555557,11/01/2022,22,9.0
B09QYK5V3G,"Serfeymi Weekly Travel Pill Organizer Pill Case for Purse with Removable 7 Day Pill Box, Fashionable Travel Medicine Organizer Pill Container for Medicine, Vitamin, Supplement - Pink 02",Serfeymi,FBA,Health & Household,Pill Organizers,7.99,1997,92.0,15956.03,744.0,4.8,Serfeymi,1,,10.129966666666666,35.23466666666666,01/01/2023,12,7.0
B08T7RNHXW,"McCann's Irish Oatmeal, Traditional Steel Cut Oats, 28 Ounce (Pack of 6)",McCann's Irish Oatmeal,Amazon,Grocery & Gourmet Food,Oatmeal,41.88,1954,58.0,81833.52,1463.0,4.7,Amazon,1,,,,05/01/2021,26,8.0
B09S5W7QSY,"AJFKOOP Retro Game Console – Classic Mini Retro Game System Built-in 620 Games and 2 Controllers, 8-Bit Video Game System with Classic Games, Old-School Gaming System for Adults and Kids",AJFKOOP,FBA,Video Games,PC,24.99,1943,26.0,48555.57,849.0,3.7,AJFKOOP,1,,44.054128125,153.23174999999998,01/01/2023,14,6.0
B0B75Q5RS9,Creme Savers Original Classic Hard Candy 3 oz Peg Bags (Pack of 3) + Bonus Mystery Candy (Orange & Creme),KD Supplies,FBA,Grocery & Gourmet Food,Hard Candy,9.99,1882,305.0,18801.18,140.0,4.5,KD Supplies Inc,1,,46.475568125,161.65415,02/01/2023,8,5.0
B09LC9NGX1,MELENECA Women's Strapless Bra for Large Bust Minimizer Unlined Bandeau with Underwire Sunkiss 38G,MELENECA,FBA,"Clothing, Shoes & Jewelry",Minimizers,26.99,1861,163.0,50228.39,4978.0,4.1,A&M APPAREL,1,36.0,20.22973822522471,70.36430687034682,05/01/2022,14,3.0
B06WLLBTW1,"Welch's Fruit Snacks, Fruit 'n Yogurt Variety Pack Strawberry, Blueberry & Cherry, Gluten Free, Bulk Pack, 0.8 oz Individual Single Serve (Pack of 46)",Welch's,Amazon,Grocery & Gourmet Food,Fruit Snacks,15.99,1853,506.0,29629.47,1269.0,4.6,Amazon,1,,,,02/01/2023,73,2.0
B08PCB6648,"New Balance Men's Dynasoft Nitrel V4 Trail Running Shoe, Black/Black/Black, 9.5 Wide",New Balance,FBA,"Clothing, Shoes & Jewelry",Trail Running,83.76,1825,-25.0,152862.0,5269.0,4.5,Orva Stores,1,-25.0,229.1528556944444,797.053411111111,05/01/2021,639,8.0
B08SBY1YZ5,"ThunderFit Silicone Rings for Men - Breatheable Airgrooves Step Edge 10mm Wide - 2.5mm Thick (Grey A, Grey B, Dark Grey A, Black, Dark Blue D, Dark Red A, Dark Blue B - Size 15.5 - 16 (24.5mm))",ThunderFit,FBA,Sports & Outdoors,Rings,16.99,1803,35.0,30632.97,1535.0,4.3,THUNDER-FIT,1,,3.440271842540632,11.96616293057611,07/01/2022,20,7.0
B002SHQZVQ,1883 Maison Routin - White Chocolate Syrup - Glass Bottle - 1 Liter,1883 Maison Routin France,FBM,Grocery & Gourmet Food,Syrups,29.15,1764,,51420.6,1939.0,4.4,Karat by Lollicup Inc.,2,,,,02/01/2023,105,7.0
B08SH1XWHY,"CLOUDY BAY Battery Powered Motion Sensor Ceiling Light,Battery Operated Wireless LED Light,3000K/4000K/5000K Selectable for Entrance Stairs Hallway Basement Garage Bathroom Cabinet Closet,2 Pack",CLOUDY BAY,FBA,Tools & Home Improvement,Close To Ceiling Lights,19.99,1763,6.0,0.0,3274.0,4.5,Cloudybay Lighting Supply Inc,1,,102.0823375,355.069,01/01/2023,20,8.0
B09M7VY1V7,"Red2Fire for iPhone 13 Pro Max Case, [360 Full Body] [Heavy Duty Protection] with Built-in Screen Protector Tough Rugged 12 FT Dropproof Shockproof Dust-proof Bumper Case for iPhone 13 Pro Max 6.7""",Red2Fire,FBA,Cell Phones & Accessories,Basic Cases,18.89,1738,18.0,32830.82,6026.0,4.3,YimitOTWO,1,,7.097428645833334,24.68670833333333,03/01/2022,17,7.0
B01HBDUM74,"CREWORKS Ultrasonic Cleaner with Heater and Timer, 4 gal Digital Sonic Cavitation Machine, 360W 15L Stainless Steel Jewelry Cleaner for Professional Tool Watch Glasses Retainer Denture Parts Cleaning",CREWORKS,FBA,Industrial & Scientific,Lab Instruments & Equipment,199.99,1651,,330183.49,2636.0,4.4,Creworks,1,,1156.375,2890.9375,03/01/2023,79,7.0
B09MHCCWGB,"Massage Bubble Slides Slippers for Women Men,Mukinrch Funny Lychee Non-slip Spa Slippers,Gym House Slippers Shower Bedroom Slippers, Soft Pillow Stress Relief Slide,Reflexology Sandals for Ladies slides",Mukinrch,FBA,Beauty & Personal Care,Spa Slippers,26.99,1642,-97.0,44317.58,3377.0,4.5,Mukinrch Shop,1,,178.3802375,620.453,07/01/2022,16,6.0
B092QRBVMC,"Hiasan Yellow Backdrop Curtains for Parties, Polyester Photography Backdrop Drapes for Family Gatherings, Wedding Decorations, 5ftx7ft, Set of 2 Panels",Hiasan,FBA,Home & Kitchen,Panels,32.99,1639,58.0,54070.61,1163.0,4.6,Hiasan,1,79.0,85.36553819444444,296.92361111111114,05/01/2022,19,6.0
B09P85W77T,Fitwarm Mothers Day I Woof You Dog Dress 100% Cotton Girl Dog Clothes Pet Apparel Doggie Tutu with Bowknot Cat Clothing Puppy Dresses Doggy Costume Attire Pink Small,Fitwarm,FBA,Pet Supplies,Dresses,17.99,1632,-47.0,29359.68,1390.0,4.8,Fitwarm,1,,32.2684178125,112.237975,10/01/2022,15,7.0
B08XY8QHMV,"Hudson Baby Unisex Baby Cotton Bibs, Sweetest Cupcake, One Size",Hudson Baby,FBM,Baby Products,Socks,14.99,1624,-87.0,24343.76,9217.0,4.7,Hudson Childrenswear,2,28.0,,,10/01/2022,24,9.0
B09HHFMNQL,"Big, 50 Pieces Red Starburst Balloons - 20 Inch | Red Metallic Balloons for Red Party Decorations | Red Star Balloons Metallic | Red Starburst Balloon Decor | Explosion Red Spike Balloons Decorations",KatchOn,FBA,Toys & Games,Balloons,16.97,1615,127.0,27406.55,690.0,4.3,KatchOn™ Store,1,,31.895578229166656,110.94114166666664,05/01/2022,18,9.0
B098XCTCR7,"POLIVIAR Tea Kettle, Black & White Stovetop Tea Kettle 2.7 Quart , Audible Whistling Teapot, Food Grade Stainless Steel for Anti-Rust, Anti Hot Handle, Suitable for All Heat Sources (JX2020-YZ30)",POLIVIAR 7379,FBA,Kitchen & Dining,Stovetop Teakettles,38.99,1587,-36.0,61877.13,10838.0,4.4,Poliviar,1,,258.8417794399031,900.3192328344456,12/01/2022,16,7.0
B092QSF3WR,"Hiasan Silver Grey Backdrop Curtains for Parties, Polyester Photography Backdrop Drapes for Family Gatherings, Wedding Decorations, 5ftx7ft, Set of 2 Panels",Hiasan,FBA,Home & Kitchen,Panels,32.99,1554,37.0,51266.46,1163.0,4.6,Hiasan,1,77.0,149.4998961805556,519.999638888889,05/01/2022,18,6.0
B092QQ5ZKF,"Hiasan Ivory Backdrop Curtains for Parties, Polyester Photography Backdrop Drapes for Family Gatherings, Wedding Decorations, 5ftx8ft, Set of 2 Panels",Hiasan,FBA,Home & Kitchen,Panels,34.99,1554,37.0,54374.46,1167.0,4.6,Hiasan,1,77.0,141.09054434027777,490.7497194444444,05/01/2022,19,6.0
B0B2449QKN,ohora Starter Set - Gel Lamp & Semicure Gel Nail Polish Strips - N Tint Jade & N Tint Black - Long-Lasting and Salon-Quality - Easy to Apply & Remove - Toxin-Free & Cruelty-Free,ohora,FBA,Beauty & Personal Care,Nail Polish,49.0,1552,25.0,76048.0,666.0,4.1,ohora official,1,,25.62995895833333,89.14768333333332,02/01/2023,10,9.0
B0B2BXXRXR,Nike Womens Blazer Low Platform DQ7654 100 - Size 9W,Nike,FBM,"Clothing, Shoes & Jewelry",Women's,117.99,1509,-22.0,178046.91,354.0,4.4,JMsneakers,1,,,,01/01/2023,10,5.0
